,SMILES,OR1L3,OR2G2,OR2J2,OR2M4,OR2T10,OR2T34,OR5AC2,OR10G3,OR10G4,OR10G7
140,CC=C(S)C(=O)OC(=O)C(C)(C)CC(=O)CCCCC,-7.147,-7.148,-6.635,-6.261,,-5.757,-6.39,-5.494,-6.223,-6.367
141,CC=CC=[SH]S(=CC=CC=COC#CO)OSCC=O,-5.834,-5.663,-5.872,-5.432,-2.958,,-5.469,-4.675,-5.185,-5.271
142,O=CCSC=CO,-3.72,-3.974,-3.621,-3.662,-3.451,-3.542,-3.736,-3.577,-3.523,-3.442
143,CC=C[SH]=CC=C(OC=O)OC(C)(C)CC(OC)OC,-5.921,-6.231,-6.026,-5.758,-3.416,-5.002,-6.027,-4.452,-5.581,-5.588
144,C=COC(=O)OC(=C=C=C=CC(C)=C=C[SH]=C)OC=O,-6.63,-6.595,-6.105,-6.055,,,-5.991,-4.931,-5.841,-5.751
145,CCOCC(=O)CC=CCC(C)OC(=O)C(C=O)OC,-6.395,-6.85,-6.46,-6.453,-3.435,-5.178,-6.306,-5.234,-6.089,-5.988
146,COC(=N)C(=O)OC,-4.423,-4.586,-3.909,-4.177,-3.892,-4.169,-4.178,-4.36,-4.272,-4.255
147,C=C=CC=C(C=O)[SH]=C=C(OCC(=O)C=O)OC(C)=O,-6.213,-7.057,-6.296,-6.275,-4.567,-5.695,-6.001,-5.384,-5.949,-5.7
148,CC(=O)OCOC(OCCCC(O)CCO)OC(C)O,-6.206,-6.867,-6.184,-6.086,-3.517,-5.708,-5.938,-5.809,-5.719,-5.781
149,CCCCC(=O)OC,-4.652,-5.151,-4.519,-4.496,-4.539,-4.437,-4.187,-4.183,-4.388,-4.156
150,CCOC(C)OCC(OC(C)OC)C(OCC)C(=O)O,-6.154,-6.543,-6.135,-6.061,-3.439,-5.464,-6.096,-5.118,-5.975,-5.666
151,COCOC(C)COC(=O)OC(C=O)=C(C=O)C(C)=O,-6.384,-7.108,-6.372,-6.248,-3.344,-6.507,-5.876,-5.356,-5.792,-5.466
152,COCCCCC(CO)(OC(C)=O)OC(O)=CC(=O)O,-6.393,-5.735,-6.427,-6.393,-4.255,-5.914,-6.109,-5.347,-6.078,-5.634
153,CCOCCOC(C)=O,-4.622,-4.694,-4.397,-4.415,-4.271,-4.329,-4.345,-4.443,-4.278,-4.029
154,CC(=O)C(=O)CC(C)C,-5.439,-5.33,-5.154,-5.386,-4.671,-5.647,-4.975,-4.852,-4.989,-4.924
155,CS[SH](C)C(C)SC=O,-4.217,-4.475,-4.465,-4.163,-3.576,-3.988,-4.056,-3.834,-3.935,-3.879
156,C=C(C=O)OC(=O)C=[SH]C=C(OO)C(=C=O)C=CC=O,-6.741,-7.201,-6.335,-6.143,-3.782,-5.583,-6.085,-5.307,-5.72,-5.429
157,CCC1=CCC(O)=CC=C(C)C=C1N(CC=CO)OC,-5.28,-4.967,-5.518,-4.439,-3.008,-3.454,-5.348,-4.058,-5.558,-5.397
158,CCOC(C=O)C(=O)OCOOC(COC)OC(C)O,-6.445,-6.566,-5.995,-5.738,-3.651,-5.455,-5.488,-5.064,-5.844,-5.084
159,CCSC(CC)C(C)=O,-4.782,-4.812,-4.942,-4.631,-4.41,-4.496,-4.269,-4.526,-4.664,-4.39
160,C=C=C(O)C=[SH]C=O,,,,,,,,,,
161,CCCCCOC(=O)OC=[SH]C(=O)O,-5.674,-6.366,-5.452,-5.373,-4.784,-5.269,-5.578,-5.301,-5.381,-5.016
162,COC(OC(C)O)C(O)=C(O)C=C(O)OCCCCO,-6.407,-6.868,-5.935,-5.448,-4.679,-5.249,-5.933,-6.128,-5.672,-5.252
163,C=COCCOCO,-4.385,-4.509,-4.015,-4.278,-4.054,-4.118,-3.805,-3.841,-4.128,-3.879
164,CCC(C)=O,-3.534,-4.021,-3.665,-3.418,-3.778,-3.868,-3.374,-3.511,-3.425,-3.344
165,COCCS,-2.876,-2.979,-2.73,-2.806,-2.65,-2.955,-2.779,-2.799,-2.85,-2.694
166,CCOSC(C)=CC(C)=O,-4.739,-5.447,-5.044,-4.875,-4.365,-5.216,-4.495,-4.936,-4.791,-4.536
167,C=CC(=CCCOC1=COC1C)C(OC=O)OC(=O)O,-6.834,-7.67,-6.66,-6.749,-4.423,-5.992,-6.499,-5.711,-6.471,-6.516
