,SMILES,OR1L3,OR2G2,OR2J2,OR2M4,OR2T10,OR2T34,OR5AC2,OR10G3,OR10G4,OR10G7
177,CC(C)=CC1=C(C)OCO1,-5.358,-5.776,-5.404,-5.514,-5.134,-5.632,-5.142,-5.048,-5.421,-5.519
178,CCC=C=CC(=O)CC,-4.892,-5.434,-4.945,-4.734,-5.076,-4.956,-4.676,-4.621,-4.738,-4.719
179,C=CC(=C)C(=O)CC(C)C(=CCC)CC,-6.637,-6.482,-6.571,-6.562,-5.257,-6.09,-5.732,-5.369,-6.084,-5.921
180,CC=C=C=C=NC1=C(C)C=C1,-5.579,-5.94,-5.439,-5.189,-5.654,-5.307,-5.073,-5.44,-5.134,-5.156
181,CCC(C(C)=O)C(C)(CC)C(=O)OC,-6.116,-5.743,-6.113,-5.519,-4.672,-5.205,-5.659,-6.081,-5.839,-5.662
182,C=CC=CC=C(OC)C(C)CN,-5.43,-5.759,-5.121,-5.534,-4.979,-5.093,-5.099,-5.363,-5.132,-5.295
183,CCC(C)CC(O)COC,-5.325,-5.19,-4.674,-5.044,-4.644,-5.084,-4.873,-4.768,-4.804,-4.966
184,CCCC(C)C(NC)C(C)C,-5.479,-5.494,-5.334,-5.485,-4.672,-5.405,-4.805,-4.847,-5.188,-5.11
185,C=C1C2=C=C(C)CC(=CC)C1C2CC,-5.138,-3.886,-5.415,-4.185,-3.99,-3.193,-5.302,-3.622,-5.275,-5.675
186,CC(=O)CC(O)CCC=C(C)C,-6.181,-6.353,-5.849,-5.667,-5.304,-5.457,-5.627,-5.157,-5.873,-5.756
187,C=CSC=C(CC)OC,-4.504,-4.789,-4.098,-4.299,-3.965,-4.202,-4.182,-4.37,-4.241,-4.12
188,CCCCCC(C)CCCC,-5.636,-5.765,-5.182,-5.074,-5.288,-5.08,-4.935,-4.668,-5.137,-4.903
189,[CH-]=CCC(N)=CC1=C(C)C1=C,-5.862,-6.11,-5.779,-5.762,-5.826,-5.915,-5.53,-5.033,-5.574,-5.541
190,CC=C(C)CCCC(=CCC)OC,-5.799,-6.051,-5.835,-5.56,-5.025,-5.457,-5.276,-5.196,-5.305,-5.238
191,C=C(C)C(OC)=C(C)CCC,-5.404,-5.757,-5.561,-5.45,-5.158,-5.337,-4.938,-4.962,-5.145,-5.24
192,C=CC(C)CC(C=CCC)C(C)=O,-6.308,-6.257,-6.243,-5.925,-5.621,-5.727,-5.534,-5.413,-5.796,-5.973
193,CCC=C1C=NC1,-4.398,-4.839,-4.018,-4.217,-4.326,-4.594,-3.782,-3.957,-4.148,-4.073
194,CCC(C)CCC(CCCC=O)C(C)O,-6.134,-6.298,-5.882,-6.285,-5.395,-5.897,-5.927,-5.272,-5.659,-5.961
195,C=C(C=O)C=CCC=CC,-5.222,-6.047,-5.123,-5.01,-5.25,-5.608,-4.704,-4.692,-4.835,-4.922
196,CCCC([Fe])CC(C)C,-5.137,-5.407,-4.843,-4.925,-4.943,-5.313,-4.624,-4.375,-4.831,-4.73
197,CCCC(C)=C(O)C(C)(C)C,-5.833,-5.765,-5.682,-5.775,-5.258,-5.719,-5.121,-5.093,-5.59,-5.578
198,CC(=CS)C(C)C(C)C,-4.958,-4.895,-4.769,-4.976,-4.691,-5.253,-4.411,-4.213,-4.45,-4.79
199,C=CC(C)(C)C=C(C)C=C=O,-5.912,-5.604,-5.781,-5.403,-4.738,-5.503,-5.433,-4.887,-5.2,-5.636
200,CC=CCC(C(C)C)C(C)C=C=O,-6.04,-5.717,-6.241,-6.059,-5.193,-5.522,-5.511,-4.969,-5.43,-5.774
201,CCC=C(CS)C(C)(C)CC,-5.305,-5.11,-5.225,-4.932,-4.336,-5.299,-4.746,-4.513,-4.943,-5.206
202,C=C(C)C1=C(S)CCCC2CCC12,-4.719,-3.623,-5.21,-3.998,-2.678,-2.877,-4.731,-4.032,-4.562,-5.074
203,CCCC(C)(N)CCCC(C)CC,-6.149,-6.176,-5.848,-5.683,-4.858,-5.378,-5.468,-5.167,-5.501,-5.674
204,CC(C)CC(C)CC(C)C=O,-5.834,-5.924,-5.825,-5.69,-4.847,-5.189,-5.225,-4.941,-5.355,-5.615
205,CCSOCCCOC,-4.046,-4.591,-4.002,-4.136,-3.791,-4.136,-3.838,-3.983,-4.012,-3.75
206,C=CCC(=O)C(CC)CC,-5.325,-5.523,-5.066,-5.316,-5.322,-5.29,-4.717,-4.887,-4.959,-4.849
207,CCC1(C)CCC=C(C)CC12C1CCC12,-5.089,-4.525,-5.86,-4.487,-2.683,-3.51,-5.401,-4.109,-5.407,-5.889
208,CCC=C=C(CC)OC,-4.667,-4.9,-4.575,-4.76,-4.941,-4.919,-4.281,-4.32,-4.451,-4.469
209,C=CC(=O)C1CC(C)C=C1O,-6.611,-6.405,-5.854,-6.366,-5.236,-5.338,-5.641,-5.677,-6.076,-6.133
210,COC=C(C=O)C(C)[SH](C)OC,-5.031,-4.989,-4.985,-4.952,-3.961,-4.715,-4.769,-4.614,-4.676,-4.593
211,CC(C)CC(C)CO,-4.997,-5.108,-4.729,-4.558,-4.485,-5.016,-4.447,-4.528,-4.597,-4.584
212,CCS1(C)(C)(C)CC1(C)C,,,,,,,,,,
213,CC=CC=COC(=O)C(C=O)=CCC,-6.155,-6.286,-5.716,-5.898,-5.606,-5.765,-5.373,-5.318,-5.491,-5.411
214,CCCC(CC)CC=CCC(C)CC,-6.489,-6.284,-6.12,-5.859,-4.851,-5.8,-5.682,-5.37,-5.511,-5.429
