,Receptor,Literature,Estimated
0,OR1L3,-6.518,-5.478
1,OR2G2,-5.108,-6.155
2,OR2J2,-5.376,-5.567
3,OR2M4,-5.951,-5.881
4,OR2T10,-5.72,-5.118
5,OR2T34,-4.992,-5.235
6,OR5AC2,-5.441,-5.363
7,OR10G3,-6.098,-5.722
8,OR10G4,-6.183,-5.814
9,OR10G7,-6.03,-5.804
