,SMILES,OR1L3,OR2G2,OR2J2,OR2M4,OR2T10,OR2T34,OR5AC2,OR10G3,OR10G4,OR10G7
321,C=C(OC(=O)CCCC)OC(C)C,-6.171,-6.217,-5.782,-5.708,-5.096,-5.351,-5.331,-5.472,-5.604,-5.568
322,C=C1C(OCO)OC(OC)=CC=COC1(C)C,-4.961,-4.308,-5.061,-5.26,-3.034,-4.399,-4.598,-4.294,-5.059,-4.556
323,CCC(CC)C(C)C,-4.926,-4.785,-4.787,-4.844,-5.036,-4.942,-4.43,-4.515,-4.25,-4.741
324,C1=c2ooc3cc(ccc3CC1)o2,,,,,,,,,,
325,CCOCC(=O)OC(=O)CC,-5.333,-5.72,-5.003,-5.332,-4.959,-4.934,-4.793,-4.995,-4.916,-4.66
326,C=C(CC(O)CCCCC)OC(C)(O)OCCC,-6.641,-7.235,-6.257,-5.848,-4.064,-5.555,-6.247,-5.278,-6.312,-6.168
327,COC(C)N(C)C(C)O,-4.763,-4.659,-4.751,-4.659,-3.999,-4.881,-4.322,-4.797,-4.493,-4.689
328,COC(=O)COC=O,-4.334,-4.546,-4.031,-4.552,-3.934,-4.268,-3.955,-4.297,-4.027,-3.811
329,COC(COC(C)C)(OC)OC(C)C(C)O,-5.768,-5.653,-5.62,-5.534,-3.679,-5.104,-5.421,-5.085,-5.773,-5.764
330,CC(O)CC1=COCC(=O)OCC1,-4.781,-5.095,-4.772,-4.65,-4.227,-4.239,-4.54,-4.548,-4.493,-4.5
331,COOC1CCCC1O,-5.076,-5.21,-4.627,-5.33,-4.691,-4.957,-4.435,-5.385,-4.764,-5.087
332,CC=C(C)OC(=O)C(C)C(C)(OC)OC=O,-6.052,-6.308,-6.346,-5.979,-4.754,-5.218,-5.737,-5.633,-5.74,-5.654
333,CC=C(F)C=O,-4.076,-4.408,-4.092,-3.791,-4.01,-4.055,-3.674,-3.712,-3.788,-3.657
334,CCC1(C)CC=CC=CCC(O)O1,-4.095,-4.212,-4.481,-4.525,-2.659,-3.388,-4.466,-4.172,-4.633,-4.699
335,CC1=C=C2C3=C4OC5(C)C6=C=C4C6C2(C=C5OC=C1)C3,,,,,,,,,,
