,SMILES,OR1L3,OR2G2,OR2J2,OR2M4,OR2T10,OR2T34,OR5AC2,OR10G3,OR10G4,OR10G7
374,CC(=O)C=C(C)C1=CC=C1,-5.847,-5.934,-5.894,-5.638,-5.348,-6.084,-5.325,-5.234,-5.436,-5.502
375,C=CCC(=NC(C)=O)C(C)CC=C,-5.775,-5.893,-6.019,-5.834,-5.379,-5.779,-5.322,-5.337,-5.564,-5.638
376,CSC=CC=CC(C)C(C)C,-5.407,-5.613,-5.205,-5.09,-4.869,-4.962,-4.875,-4.476,-5.02,-5.181
377,C=CC(=C)CC(=O)CS,-4.825,-5.154,-4.668,-4.95,-4.563,-4.789,-4.492,-4.29,-4.495,-4.418
378,CC=CC(=COC)C(C)CC,-5.382,-5.632,-5.368,-5.379,-5.069,-5.345,-4.866,-4.743,-5.015,-5.124
379,CCOC=C(C)C=CC(C)=O,-5.457,-5.877,-5.46,-5.124,-4.709,-5.228,-4.879,-4.975,-5.134,-4.826
380,CCC(S)S(C)(C)(C)=C=O,-4.769,-4.376,-4.355,-4.615,-3.24,-3.775,-4.375,-4.137,-4.439,-4.421
381,CC1=C2C=C=CC=CC(C)(CCC1)CCC2,-3.022,-1.046,-3.902,-2.637,-2.353,-2.12,-4.51,-2.586,-4.11,-4.293
382,CCC(C)=CC1CCC1(CC1CS1)OF,-6.835,-6.378,-6.439,-6.211,-4.449,-5.759,-6.074,-5.876,-6.144,-6.117
383,C=CC=CC1=CC(=O)O1,-5.192,-5.432,-4.998,-5.182,-5.037,-5.459,-4.99,-4.769,-5.407,-5.266
384,CCCN(CC)COCC,-4.53,-4.937,-4.433,-4.649,-4.42,-4.725,-4.245,-4.401,-4.402,-4.335
385,CCC1(C)C=C[SH](C)CC1,-5.392,-5.128,-5.518,-5.559,-4.266,-4.363,-5.064,-4.606,-5.431,-5.646
386,C=CCCC(C)(C)C=CC=O,-5.45,-5.839,-5.804,-5.421,-5.369,-5.083,-4.965,-4.855,-5.028,-5.295
387,CCCSC(C(C)C)C(C)COC,-5.275,-5.714,-5.574,-5.434,-3.833,-4.917,-5.382,-4.675,-5.211,-5.334
388,C=CC(=C)C=C(C)C(=C)C=C,-6.078,-5.971,-5.621,-5.657,-5.852,-5.642,-5.333,-4.839,-5.159,-5.759
389,CC=C(O)C(=CC)CC(C)C,-5.791,-5.644,-5.641,-5.344,-5.176,-5.757,-5.258,-5.172,-5.381,-5.393
